date,temperature,rain_mm,is_weekend,event_name,event_impact
2025-01-01,8.7,0.0,False,,
2025-01-02,11.2,0.0,False,,
2025-01-03,12.1,0.0,False,,
2025-01-04,7.4,0.0,True,,
2025-01-05,9.7,0.0,True,,
2025-01-06,7.8,0.0,False,,
2025-01-07,7.7,2.2,False,,
2025-01-08,10.7,0.0,False,,
2025-01-09,10.9,0.0,False,,
2025-01-10,10.7,0.0,False,,
2025-01-11,11.8,0.0,True,,
2025-01-12,12.7,0.0,True,,
2025-01-13,10.9,0.0,False,,
2025-01-14,10.7,0.0,False,,
2025-01-15,7.7,0.0,False,,
2025-01-16,12.5,0.0,False,,
2025-01-17,12.7,0.0,False,,
2025-01-18,8.7,0.0,True,,
2025-01-19,8.1,0.0,True,,
2025-01-20,7.7,0.0,False,,
2025-01-21,7.1,0.0,False,,
2025-01-22,11.4,0.0,False,,
2025-01-23,10.2,2.9,False,,
2025-01-24,12.9,0.0,False,,
2025-01-25,8.6,0.0,True,,
2025-01-26,9.2,0.0,True,,
2025-01-27,6.1,3.4,False,,
2025-01-28,9.8,0.0,False,,
2025-01-29,12.6,0.0,False,,
2025-01-30,9.1,0.0,False,,
2025-01-31,12.2,0.0,False,,
2025-02-01,9.6,0.0,True,,
2025-02-02,9.6,0.0,True,,
2025-02-03,11.8,0.0,False,,
2025-02-04,9.6,3.6,False,,
2025-02-05,12.5,0.0,False,,
2025-02-06,10.8,2.2,False,,
2025-02-07,10.5,0.0,False,,
2025-02-08,9.7,0.0,True,,
2025-02-09,12.1,0.0,True,,
2025-02-10,9.3,0.0,False,,
2025-02-11,10.5,2.9,False,,
2025-02-12,10.9,0.0,False,,
2025-02-13,13.3,0.0,False,,
2025-02-14,12.2,0.0,False,,
2025-02-15,11.6,4.3,True,,
2025-02-16,10.0,0.0,True,,
2025-02-17,9.6,0.0,False,,
2025-02-18,7.1,2.1,False,,
2025-02-19,10.0,0.0,False,,
2025-02-20,9.5,2.8,False,,
2025-02-21,11.0,0.0,False,,
2025-02-22,10.9,0.0,True,,
2025-02-23,11.3,0.0,True,,
2025-02-24,8.7,0.0,False,,
2025-02-25,10.9,0.0,False,,
2025-02-26,11.9,0.0,False,MWC Day 1,business
2025-02-27,8.2,0.0,False,MWC Day 2,business
2025-02-28,8.8,0.0,False,MWC Day 3,business
2025-03-01,15.5,0.0,True,MWC Day 4,business
2025-03-02,11.7,3.1,True,,
2025-03-03,15.5,0.0,False,,
2025-03-04,10.0,0.0,False,,
2025-03-05,13.4,0.0,False,,
2025-03-06,12.3,0.0,False,,
2025-03-07,14.9,0.0,False,,
