timestamp,menu_item,qty,price,service_type,customer_type
2025-01-01 13:05:00,Glass of Rioja,1,4.5,lunch,Tourist
2025-01-01 13:05:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:05:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:05:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:05:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:05:00,Sangria Jug,1,16.0,lunch,Tourist
2025-01-01 13:05:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:05:00,Sangria Jug,1,16.0,lunch,Tourist
2025-01-01 13:05:00,Menu del Dia,1,14.5,lunch,Local
2025-01-01 13:05:00,Sangria Jug,1,16.0,lunch,Tourist
2025-01-01 13:05:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:05:00,Estrella Damm (Caña),1,2.5,lunch,Tourist
2025-01-01 13:05:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:06:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:06:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:06:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:06:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:06:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:06:00,Sangria Jug,1,16.0,lunch,Tourist
2025-01-01 13:06:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:06:00,Sangria Jug,1,16.0,lunch,Tourist
2025-01-01 13:06:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:07:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:07:00,Estrella Damm (Caña),1,2.5,lunch,Tourist
2025-01-01 13:07:00,Estrella Damm (Caña),1,2.5,lunch,Tourist
2025-01-01 13:07:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:07:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:07:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:07:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:07:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:07:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:08:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:08:00,Sangria Jug,1,16.0,lunch,Tourist
2025-01-01 13:08:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:08:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:08:00,Glass of Rioja,1,4.5,lunch,Tourist
2025-01-01 13:08:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:08:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:08:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:08:00,Estrella Damm (Caña),1,2.5,lunch,Tourist
2025-01-01 13:08:00,Estrella Damm (Caña),1,2.5,lunch,Tourist
2025-01-01 13:09:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:09:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:09:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:09:00,Sangria Jug,1,16.0,lunch,Tourist
2025-01-01 13:09:00,Estrella Damm (Caña),1,2.5,lunch,Tourist
2025-01-01 13:09:00,Estrella Damm (Caña),1,2.5,lunch,Tourist
2025-01-01 13:09:00,Glass of Rioja,1,4.5,lunch,Tourist
2025-01-01 13:09:00,Estrella Damm (Caña),1,2.5,lunch,Tourist
2025-01-01 13:09:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:09:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:09:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:09:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:09:00,Estrella Damm (Caña),1,2.5,lunch,Tourist
2025-01-01 13:09:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:09:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:10:00,Glass of Rioja,1,4.5,lunch,Tourist
2025-01-01 13:10:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:10:00,Sangria Jug,1,16.0,lunch,Tourist
2025-01-01 13:10:00,Estrella Damm (Caña),1,2.5,lunch,Tourist
2025-01-01 13:10:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:10:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:10:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:10:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:10:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:10:00,Sangria Jug,1,16.0,lunch,Tourist
2025-01-01 13:10:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:10:00,Glass of Rioja,1,4.5,lunch,Tourist
2025-01-01 13:10:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:10:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:11:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:11:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:11:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:11:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:11:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:11:00,Glass of Rioja,1,4.5,lunch,Tourist
2025-01-01 13:11:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:11:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:11:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:11:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:11:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:11:00,Glass of Rioja,1,4.5,lunch,Tourist
2025-01-01 13:11:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:11:00,Sangria Jug,1,16.0,lunch,Tourist
2025-01-01 13:11:00,Estrella Damm (Caña),1,2.5,lunch,Tourist
2025-01-01 13:11:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:11:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:12:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:12:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:12:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:12:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:12:00,Estrella Damm (Caña),1,2.5,lunch,Tourist
2025-01-01 13:12:00,Estrella Damm (Caña),1,2.5,lunch,Tourist
2025-01-01 13:12:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:12:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:12:00,Glass of Rioja,1,4.5,lunch,Tourist
2025-01-01 13:12:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:12:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:12:00,Menu del Dia,1,14.5,lunch,Local
2025-01-01 13:13:00,Estrella Damm (Caña),1,2.5,lunch,Tourist
2025-01-01 13:13:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:13:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:13:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:13:00,Estrella Damm (Caña),1,2.5,lunch,Tourist
2025-01-01 13:13:00,Glass of Rioja,1,4.5,lunch,Tourist
2025-01-01 13:13:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:13:00,Cortado,1,1.8,lunch,Tourist
2025-01-01 13:13:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:13:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:13:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:13:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:13:00,Estrella Damm (Caña),1,2.5,lunch,Tourist
2025-01-01 13:13:00,Estrella Damm (Caña),1,2.5,lunch,Tourist
2025-01-01 13:13:00,Estrella Damm (Caña),1,2.5,lunch,Tourist
2025-01-01 13:13:00,Glass of Rioja,1,4.5,lunch,Tourist
2025-01-01 13:14:00,Sangria Jug,1,16.0,lunch,Tourist
2025-01-01 13:14:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:14:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:14:00,Seafood Paella,1,18.0,lunch,Tourist
2025-01-01 13:14:00,Seafood Paella,1,18.0,lunch,Tourist
