timestamp,menu_item_name,quantity
2025-01-01T13:18:00,Menu del Día,2
2025-01-01T13:22:00,Menu del Día,1
2025-01-01T13:22:00,Seafood Paella (for 2),1
2025-01-01T13:27:00,Menu del Día,2
2025-01-01T13:32:00,Seafood Paella (for 2),1
2025-01-01T13:44:00,Menu del Día,2
2025-01-01T13:44:00,Seafood Paella (for 2),1
2025-01-01T13:46:00,Menu del Día,3
2025-01-01T13:49:00,Menu del Día,2
2025-01-01T13:50:00,Menu del Día,1
2025-01-01T13:50:00,Seafood Paella (for 2),1
2025-01-01T13:50:00,Seafood Paella (for 2),1
2025-01-01T13:58:00,Menu del Día,1
2025-01-01T13:58:00,Seafood Paella (for 2),1
2025-01-01T14:00:00,Menu del Día,2
2025-01-01T14:02:00,Menu del Día,1
2025-01-01T14:02:00,Seafood Paella (for 2),1
2025-01-01T14:03:00,Menu del Día,3
2025-01-01T14:03:00,Seafood Paella (for 2),1
2025-01-01T14:12:00,Menu del Día,1
2025-01-01T14:12:00,Seafood Paella (for 2),1
2025-01-01T14:23:00,Menu del Día,2
2025-01-01T14:24:00,Menu del Día,3
2025-01-01T14:24:00,Seafood Paella (for 2),1
2025-01-01T14:26:00,Menu del Día,1
2025-01-01T14:26:00,Menu del Día,2
2025-01-01T14:30:00,Menu del Día,1
2025-01-01T14:30:00,Seafood Paella (for 2),1
2025-01-01T14:30:00,Menu del Día,1
2025-01-01T14:30:00,Seafood Paella (for 2),1
2025-01-01T14:31:00,Menu del Día,1
2025-01-01T14:31:00,Seafood Paella (for 2),1
2025-01-01T14:35:00,Menu del Día,1
2025-01-01T14:35:00,Seafood Paella (for 2),1
2025-01-01T14:39:00,Menu del Día,4
2025-01-01T14:40:00,Menu del Día,1
2025-01-01T14:41:00,Menu del Día,2
2025-01-01T14:41:00,Seafood Paella (for 2),1
2025-01-01T14:47:00,Menu del Día,1
2025-01-01T14:50:00,Menu del Día,1
2025-01-01T15:02:00,Menu del Día,1
2025-01-01T15:05:00,Menu del Día,2
2025-01-01T15:07:00,Menu del Día,2
2025-01-01T15:08:00,Menu del Día,1
2025-01-01T15:10:00,Menu del Día,3
2025-01-01T15:10:00,Seafood Paella (for 2),1
2025-01-01T15:14:00,Menu del Día,1
2025-01-01T15:14:00,Seafood Paella (for 2),1
2025-01-01T15:20:00,Menu del Día,2
2025-01-01T15:21:00,Menu del Día,2
2025-01-01T15:21:00,Seafood Paella (for 2),1
2025-01-01T15:21:00,Seafood Paella (for 2),1
2025-01-01T15:26:00,Menu del Día,1
2025-01-01T15:26:00,Menu del Día,2
2025-01-01T15:28:00,Menu del Día,2
2025-01-01T15:28:00,Menu del Día,1
2025-01-01T15:28:00,Seafood Paella (for 2),1
2025-01-01T15:29:00,Menu del Día,2
2025-01-01T15:29:00,Menu del Día,1
2025-01-01T15:29:00,Seafood Paella (for 2),1
2025-01-01T15:33:00,Menu del Día,2
2025-01-01T15:33:00,Seafood Paella (for 2),1
2025-01-01T15:35:00,Menu del Día,2
2025-01-01T15:35:00,Seafood Paella (for 2),1
2025-01-01T15:37:00,Seafood Paella (for 2),1
2025-01-01T15:42:00,Menu del Día,2
2025-01-01T15:47:00,Menu del Día,2
2025-01-01T15:47:00,Seafood Paella (for 2),1
2025-01-01T15:47:00,Seafood Paella (for 2),1
2025-01-01T15:50:00,Menu del Día,1
2025-01-01T15:51:00,Seafood Paella (for 2),1
2025-01-01T15:51:00,Seafood Paella (for 2),1
2025-01-01T15:52:00,Menu del Día,3
2025-01-01T15:52:00,Seafood Paella (for 2),1
2025-01-01T15:54:00,Menu del Día,4
2025-01-01T15:54:00,Menu del Día,1
2025-01-01T15:54:00,Seafood Paella (for 2),1
2025-01-01T15:54:00,Menu del Día,3
2025-01-01T15:56:00,Seafood Paella (for 2),1
2025-01-01T15:56:00,Seafood Paella (for 2),1
2025-01-01T15:56:00,Seafood Paella (for 2),1
2025-01-01T15:58:00,Menu del Día,1
2025-01-01T15:58:00,Seafood Paella (for 2),1
2025-01-01T15:58:00,Menu del Día,3
2025-01-01T15:58:00,Seafood Paella (for 2),1
2025-01-01T16:00:00,Menu del Día,1
2025-01-01T16:01:00,Menu del Día,1
2025-01-01T16:11:00,Menu del Día,4
2025-01-01T16:19:00,Seafood Paella (for 2),1
2025-01-01T16:20:00,Menu del Día,2
2025-01-01T16:32:00,Seafood Paella (for 2),1
2025-01-01T16:33:00,Menu del Día,1
2025-01-01T16:33:00,Seafood Paella (for 2),1
2025-01-01T16:36:00,Menu del Día,1
2025-01-01T16:36:00,Seafood Paella (for 2),1
2025-01-01T16:36:00,Seafood Paella (for 2),1
2025-01-01T16:37:00,Menu del Día,1
2025-01-01T16:38:00,Menu del Día,1
2025-01-01T16:40:00,Menu del Día,2
2025-01-01T16:56:00,Menu del Día,1
2025-01-02T13:04:00,Menu del Día,1
2025-01-02T13:04:00,Seafood Paella (for 2),1
2025-01-02T13:07:00,Menu del Día,2
2025-01-02T13:07:00,Seafood Paella (for 2),1
2025-01-02T13:07:00,Menu del Día,1
2025-01-02T13:07:00,Seafood Paella (for 2),1
2025-01-02T13:09:00,Menu del Día,1
2025-01-02T13:09:00,Seafood Paella (for 2),1
2025-01-02T13:10:00,Seafood Paella (for 2),1
2025-01-02T13:12:00,Menu del Día,2
2025-01-02T13:20:00,Menu del Día,3
2025-01-02T13:21:00,Menu del Día,1
2025-01-02T13:21:00,Menu del Día,3
2025-01-02T13:21:00,Seafood Paella (for 2),1
2025-01-02T13:22:00,Menu del Día,1
2025-01-02T13:22:00,Menu del Día,2
2025-01-02T13:22:00,Seafood Paella (for 2),1
2025-01-02T13:23:00,Menu del Día,3
2025-01-02T13:23:00,Menu del Día,1
2025-01-02T13:23:00,Seafood Paella (for 2),1
2025-01-02T13:28:00,Menu del Día,1
2025-01-02T13:28:00,Seafood Paella (for 2),1
2025-01-02T13:28:00,Menu del Día,1
2025-01-02T13:28:00,Seafood Paella (for 2),1
2025-01-02T13:28:00,Menu del Día,2
2025-01-02T13:29:00,Menu del Día,1
2025-01-02T13:32:00,Seafood Paella (for 2),1
2025-01-02T13:32:00,Menu del Día,1
2025-01-02T13:32:00,Seafood Paella (for 2),1
2025-01-02T13:36:00,Menu del Día,2
2025-01-02T13:39:00,Seafood Paella (for 2),1
2025-01-02T13:42:00,Menu del Día,1
2025-01-02T13:48:00,Menu del Día,3
2025-01-02T13:49:00,Menu del Día,1
2025-01-02T13:49:00,Seafood Paella (for 2),1
2025-01-02T13:54:00,Menu del Día,1
2025-01-02T13:55:00,Menu del Día,2
2025-01-02T13:56:00,Menu del Día,1
2025-01-02T13:56:00,Seafood Paella (for 2),1
2025-01-02T13:59:00,Menu del Día,1
2025-01-02T14:01:00,Menu del Día,3
2025-01-02T14:01:00,Seafood Paella (for 2),1
2025-01-02T14:15:00,Menu del Día,1
2025-01-02T14:15:00,Seafood Paella (for 2),1
2025-01-02T14:17:00,Menu del Día,2
2025-01-02T14:17:00,Seafood Paella (for 2),1
2025-01-02T14:24:00,Menu del Día,3
2025-01-02T14:24:00,Seafood Paella (for 2),1
2025-01-02T14:34:00,Menu del Día,2
2025-01-02T14:38:00,Menu del Día,1
2025-01-02T14:38:00,Seafood Paella (for 2),1
2025-01-02T14:43:00,Seafood Paella (for 2),1
2025-01-02T14:54:00,Menu del Día,3
2025-01-02T14:54:00,Seafood Paella (for 2),1
2025-01-02T14:59:00,Seafood Paella (for 2),1
2025-01-02T14:59:00,Seafood Paella (for 2),1
2025-01-02T15:00:00,Menu del Día,1
2025-01-02T15:00:00,Seafood Paella (for 2),1
2025-01-02T15:00:00,Menu del Día,2
2025-01-02T15:03:00,Menu del Día,1
2025-01-02T15:09:00,Menu del Día,2
2025-01-02T15:11:00,Menu del Día,1
2025-01-02T15:11:00,Seafood Paella (for 2),1
2025-01-02T15:13:00,Menu del Día,2
2025-01-02T15:21:00,Menu del Día,1
2025-01-02T15:21:00,Menu del Día,1
2025-01-02T15:21:00,Seafood Paella (for 2),1
2025-01-02T15:21:00,Menu del Día,3
2025-01-02T15:21:00,Seafood Paella (for 2),1
2025-01-02T15:22:00,Menu del Día,2
2025-01-02T15:24:00,Menu del Día,2
2025-01-02T15:24:00,Seafood Paella (for 2),1
2025-01-02T15:25:00,Seafood Paella (for 2),1
2025-01-02T15:29:00,Seafood Paella (for 2),1
2025-01-02T15:29:00,Menu del Día,1
2025-01-02T15:29:00,Menu del Día,1
2025-01-02T15:29:00,Seafood Paella (for 2),1
2025-01-02T15:31:00,Menu del Día,1
2025-01-02T15:36:00,Seafood Paella (for 2),1
2025-01-02T15:36:00,Menu del Día,2
2025-01-02T15:39:00,Menu del Día,1
2025-01-02T15:39:00,Seafood Paella (for 2),1
